369,463869463869
387,052182928234
401,958551582783
430,192513972788
447,878177135819
511,876881900301
624,236365655893
1026,43341978919
1542,00482561965
2941,43404488232
4448,20804195804
7780,26050465965
10442,5356094379
15159,5889293676
19914,0743963454
29083,0262302189
32158,1335061568
28410,0395728303
24231,1459353575
19779,9815748117
17363,9896373057
14880,1895428356
14392,3928226066
14746,2431146051
15775,1277683135
16650,6769001173
17926,3607257204
18730,6849168583
20077,1456123433
21066,6524018402
22763,5936331588
24056,4430244941
26141,8409597622
27486,591259094
30134,9341266468
32418,9605696673
35541,1439506698
37283,4917432167
39588,4162511934
40662,860767523
41712,1483510694
42142,8194993412
42294,3905525095
41958,4756898817
41031,3384341264
40010,4542365794
37923,8790406674
36240,3585574317
33764,3259012294
32316,5437522883
29810,9442285474
27005,4484492875
25296,3311382879
22865,1626988252
21184,9860407404
18904,9736325096
17530,7620721745
15620,2793585101
14409,3591469096
12807,5612023551
11823,1474801608
